id;title;price;reviews;image_url;product_url
1;Steel;31485;98311;quantify monetize Consultant;wireless Handmade
2;Dynamic Pound withdrawal;88209;64964;Division;Metal
3;models partnerships Infrastructure;91058;85179;intermediate initiative Generic;Lao
4;Australian;16473;23281;digital;CFP orange
5;Village;95487;35518;Dynamic Sports;Mexico yellow Cape
6;Ethiopia;66238;45935;invoice;Bike Shoes Center
7;tangible;62192;4722;Account;Cheese Consultant online
8;project hacking efficient;50702;80217;Practical User-friendly Data;sticky Harbors Automotive
9;Checking system-worthy;9545;6953;Ergonomic relationships back-end;solution Zimbabwe Games
10;Account transmit Incredible;88593;84724;Martinique Executive Down-sized;transitional
